MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,,
1,5.415,6.3891E+17,6.3891E+17,,,Column1,
2,7.265,6.3891E+17,6.3891E+17,,,,
3,8.223,6.3891E+17,6.3891E+17,,,Mean,3009.476074
4,9.101,6.3891E+17,6.3891E+17,,,Standard Error,16.35278721
5,9.862,6.3891E+17,6.3891E+17,,,Median,3023.0945
6,10.562,6.3891E+17,6.3891E+17,,,Mode,#N/A
7,11.378,6.3891E+17,6.3891E+17,,,Standard Deviation,1635.278721
8,12.159,6.3891E+17,6.3891E+17,,,Sample Variance,2674136.494
9,12.942,6.3891E+17,6.3891E+17,,,Kurtosis,-1.1544832
10,13.745,6.3891E+17,6.3891E+17,,,Skewness,-0.048604968
11,14.433,6.3891E+17,6.3891E+17,,,Range,5797.965
12,15.421,6.3891E+17,6.3891E+17,,,Minimum,5.415
13,16.084,6.3891E+17,6.3891E+17,,,Maximum,5803.38
14,16.817,6.3891E+17,6.3891E+17,,,Sum,30094760.74
15,17.637,6.3891E+17,6.3891E+17,,,Count,10000
16,18.351,6.3891E+17,6.3891E+17,,,,1
17,19.038,6.3891E+17,6.3891E+17,,,,
18,19.681,6.3891E+17,6.3891E+17,,,,
19,20.451,6.3891E+17,6.3891E+17,,,,
20,21.127,6.3891E+17,6.3891E+17,,,,
21,21.889,6.3891E+17,6.3891E+17,,,,
22,22.565,6.3891E+17,6.3891E+17,,,,
23,23.293,6.3891E+17,6.3891E+17,,,,
24,24.033,6.3891E+17,6.3891E+17,,,,
25,24.734,6.3891E+17,6.3891E+17,,,,
26,25.454,6.3891E+17,6.3891E+17,,,,
27,26.193,6.3891E+17,6.3891E+17,,,,
28,26.86,6.3891E+17,6.3891E+17,,,,
29,27.527,6.3891E+17,6.3891E+17,,,,
30,28.468,6.3891E+17,6.3891E+17,,,,
31,29.311,6.3891E+17,6.3891E+17,,,,
32,29.95,6.3891E+17,6.3891E+17,,,,
33,30.649,6.3891E+17,6.3891E+17,,,,
34,31.468,6.3891E+17,6.3891E+17,,,,
35,32.183,6.3891E+17,6.3891E+17,,,,
36,32.926,6.3891E+17,6.3891E+17,,,,
37,33.701,6.3891E+17,6.3891E+17,,,,
38,34.385,6.3891E+17,6.3891E+17,,,,
39,34.98,6.3891E+17,6.3891E+17,,,,
40,35.792,6.3891E+17,6.3891E+17,,,,
41,36.457,6.3891E+17,6.3891E+17,,,,
42,37.128,6.3891E+17,6.3891E+17,,,,
43,37.858,6.3891E+17,6.3891E+17,,,,
44,38.595,6.3891E+17,6.3891E+17,,,,
45,39.337,6.3891E+17,6.3891E+17,,,,
46,40.077,6.3891E+17,6.3891E+17,,,,
47,40.831,6.3891E+17,6.3891E+17,,,,
48,41.562,6.3891E+17,6.3891E+17,,,,
49,42.256,6.3891E+17,6.3891E+17,,,,
