MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp
1,1.109,638909848741139977,638909848741151068
2,0.543,638909848741169449,638909848741174878
3,0.550,638909848741178271,638909848741183769
4,0.485,638909848741188081,638909848741192928
5,0.565,638909848741196301,638909848741201947
6,0.463,638909848741206245,638909848741210870
7,0.450,638909848741214926,638909848741219425
8,0.539,638909848741222634,638909848741228020
9,0.481,638909848741231145,638909848741235957
10,0.592,638909848741239229,638909848741245146
11,0.503,638909848741248169,638909848741253202
12,0.427,638909848741256400,638909848741260667
13,0.597,638909848741262937,638909848741268902
14,0.407,638909848741272255,638909848741276330
15,0.597,638909848741279244,638909848741285217
16,0.466,638909848741288990,638909848741293652
17,0.519,638909848741296623,638909848741301815
18,0.577,638909848741304317,638909848741310088
19,0.459,638909848741312728,638909848741317314
20,0.480,638909848741319976,638909848741324777
21,0.367,638909848741327926,638909848741331596
22,2.876,638909848741343218,638909848741371978
23,1.598,638909848741378016,638909848741393994
24,0.545,638909848741397437,638909848741402884
25,0.593,638909848741405964,638909848741411892
26,0.474,638909848741415116,638909848741419852
27,0.523,638909848741422257,638909848741427490
28,0.580,638909848741429669,638909848741435472
29,0.401,638909848741438519,638909848741442526
30,0.703,638909848741445474,638909848741452506
31,0.484,638909848741457381,638909848741462226
32,0.417,638909848741465460,638909848741469626
33,0.418,638909848741472439,638909848741476622
34,0.472,638909848741478766,638909848741483488
35,0.368,638909848741486984,638909848741490662
36,0.427,638909848741495495,638909848741499769
37,0.367,638909848741503531,638909848741507205
38,0.377,638909848741510687,638909848741514459
39,0.366,638909848741518809,638909848741522470
40,0.480,638909848741525862,638909848741530664
41,0.428,638909848741533564,638909848741537848
42,0.603,638909848741540095,638909848741546124
43,0.504,638909848741548200,638909848741553239
44,0.370,638909848741555937,638909848741559638
45,0.422,638909848741563243,638909848741567459
46,0.508,638909848741570864,638909848741575946
47,0.468,638909848741578513,638909848741583188
48,0.416,638909848741585893,638909848741590054
49,0.351,638909848741594255,638909848741597764
50,0.347,638909848741601228,638909848741604702
51,0.416,638909848741608032,638909848741612194
52,0.434,638909848741614808,638909848741619146
53,0.401,638909848741621729,638909848741625741
54,0.401,638909848741629056,638909848741633068
55,0.399,638909848741636227,638909848741640220
56,0.492,638909848741643092,638909848741648014
57,0.431,638909848741650946,638909848741655257
58,0.418,638909848741659460,638909848741663636
