2025-08-09 02:54:30.028 - TCP Socket Publisher Starting (.NET 8 Version - simulating WebSocket)...
2025-08-09 02:54:42.573 - Connecting to TCP server at localhost:8080 (.NET 8)
2025-08-09 02:54:44.676 - Connected to TCP server (.NET 8)
2025-08-09 02:54:49.071 - Sent 7900 TEST messages... (.NET 8)
2025-08-09 02:54:49.087 - Sent 8000 TEST messages... (.NET 8)
2025-08-09 02:54:49.103 - Sent 8100 TEST messages... (.NET 8)
2025-08-09 02:54:49.118 - Sent 8200 TEST messages... (.NET 8)
2025-08-09 02:54:49.134 - Sent 8300 TEST messages... (.NET 8)
2025-08-09 02:54:49.151 - Sent 8400 TEST messages... (.NET 8)
2025-08-09 02:54:49.166 - Sent 8500 TEST messages... (.NET 8)
2025-08-09 02:54:49.182 - Sent 8600 TEST messages... (.NET 8)
2025-08-09 02:54:49.198 - Sent 8700 TEST messages... (.NET 8)
2025-08-09 02:54:49.213 - Sent 8800 TEST messages... (.NET 8)
2025-08-09 02:54:49.228 - Sent 8900 TEST messages... (.NET 8)
2025-08-09 02:54:49.244 - Sent 9000 TEST messages... (.NET 8)
2025-08-09 02:54:49.259 - Sent 9100 TEST messages... (.NET 8)
2025-08-09 02:54:49.275 - Sent 9200 TEST messages... (.NET 8)
2025-08-09 02:54:49.290 - Sent 9300 TEST messages... (.NET 8)
2025-08-09 02:54:49.305 - Sent 9400 TEST messages... (.NET 8)
2025-08-09 02:54:49.320 - Sent 9500 TEST messages... (.NET 8)
2025-08-09 02:54:49.336 - Sent 9600 TEST messages... (.NET 8)
2025-08-09 02:54:49.351 - Sent 9700 TEST messages... (.NET 8)
2025-08-09 02:54:49.367 - Sent 9800 TEST messages... (.NET 8)
2025-08-09 02:54:49.382 - Sent 9900 TEST messages... (.NET 8)
2025-08-09 02:54:49.397 - Sent 10000 TEST messages... (.NET 8)
2025-08-09 02:54:49.398 - Completed sending all 10000 TEST messages (.NET 8)
2025-08-09 02:54:49.399 - Performance test completed in 1565ms (.NET 8)
2025-08-09 02:54:49.402 - Throughput: 6387.38 messages/second (.NET 8)
2025-08-09 02:54:49.403 - Waiting for subscriber to process all messages... (.NET 8)
